There and then.	teo ary avy eo
It’s all about the money.	ny zavadrehetra dia momba ny vola
Someone else has to do it.	olona hafa no tsy maintsy manao izany
And of course happy when the news arrives.	ary mazava ho azy fa faly rehefa tonga ny vaovao
Fast and easy.	haingana sy mora
But many other places as well.	fa toerana maro hafa koa
He could do nothing.	tsy afaka nanao na inona na inona izy
It’s harder than it looks.	sarotra kokoa noho ny hita izany
There is something about the place.	misy zavatra momba ilay toerana
We do all the work.	manao ny asa rehetra izahay
What could be the problem ?.	inona no mety ho olana
It is near.	efa akaiky izany
She is happy.	faly izy
Look at things, though.	jereo ny zavatra na dia
But he is coming.	fa ho avy izy
People make their way for them.	manao lalana ho azy ireo ny olona
Very fun.	mahafinaritra be
I think that’s a good idea.	heveriko fa hevitra tsara izany
It is done.	atao izany
There are general reasons as well.	misy antony ankapobeny koa
The conversation can be very easy.	mety ho mora tokoa ny resaka
Here is one that could be better.	ity misy iray izay mety ho tsara kokoa
It will be.	izany dia ho
We can no longer do it.	tsy afaka manao intsony isika
They really have something bigger.	tena manana zavatra lehibe kokoa izy ireo
He himself told me.	izy mihitsy no nilaza tamiko
Then we move on to another.	avy eo isika dia mandeha aminny iray hafa
That’s far better.	tsara lavitra izany
It will be better for him.	ho tsara kokoa ho azy izany
But everything is better than good.	saingy tsara kokoa noho ny tsara ny zavadrehetra
We are happy to have it.	faly izahay manana izany
It became a very pleasant place.	lasa toerana tena nahafinaritra ilay izy
Everything is lost.	very ny zavadrehetra
Clearly, something is wrong.	mazava fa misy zavatra tsy mety
Bigger than life.	lehibe noho ny fiainana
This has never happened before.	tsy mbola nisy izany teo aloha
There is no other way around it.	tsy misy fomba hafa manodidina izany
I was very happy about that.	tena faly aho taminizany
We have pictures together.	manana sary miaraka izahay
They shouldn’t be a problem.	tsy tokony ho olana izy ireo
Maybe just one person.	olona iray ihany angamba
Maybe even better.	mety tsara kokoa aza
There was no one like us today.	tsy nisy toy ny antsika ankehitriny
Nothing came of it.	tsy nisy na inona na inona tonga taminizany
Simple is fast.	ny tsotra dia haingana
Whether good or bad.	na tsara na ratsy
I find that still in the usual way.	hitako fa mbola aminny fomba mahazatra
Maybe you did, but maybe you didn’t.	angamba ianao nanao izany fa angamba tsy nanao izany
It’s an action.	hetsika izy
Because it needs to be very fast.	satria mila haingana be
At the moment, this is not true historically.	aminizao fotoana izao dia tsy marina izany raha ny tantara
All women do that.	ny vehivavy rehetra dia manao izany
But not for long.	tsy ela anefa
I think these are difficult.	heveriko fa sarotra ireo
But it's a nice idea.	hevitra mahafinaritra anefa
History is about everything but nothing.	ny tantara dia momba ny zavadrehetra fa tsy misy
Don’t do them.	aza manao azy ireo
And not just himself.	ary tsy ny tenany ihany
Either way, it’s already common.	na izany na tsy izany efa mahazatra izany
He thought the same way.	nieritreritra toy izany koa izy
Yes, you are wrong.	eny diso hevitra ianao
Real people.	olona tena izy
Less work is needed.	kely kokoa ny asa ilaina
And they all needed jobs.	ary nila asa izy rehetra
You came to me.	tonga amiko ianao
Nothing can be done easily.	tsy misy azo atao mora foana
Do what you want with it.	ataovy izay tianao aminizany
In a lifetime.	aminny fiainana iray
I stopped too.	nijanona koa aho
Work is the first thing in the world.	ny asa no voalohany indrindra eto aminizao tontolo izao
That is the reality.	izany no tena zavamisy
He was probably lost.	very angamba izy
He knows us well.	fantany tsara isika
He seemed very happy to see me.	toa faly be izy nahita ahy
They used to be like that.	toy izany izy ireo taloha
He had time for everyone.	nanana fotoana ho anny rehetra izy
You don't get it.	tsy azonao izany
It’s easy, too.	mora ihany koa izany
He has it.	manana izany izy
There is no step away.	tsy misy dingana lavitra
But that year passed quickly.	lasa haingana anefa izany taona izany
He is very unhappy.	tena tsy faly izy
She is a very beautiful person.	olona tsara tarehy loatra izy
I can't.	tsy afaka aho
That way, everyone is happy.	aminizany fomba izany dia faly ny rehetra
It is a new life.	fiainana vaovao izany
Even though he knew he would do it.	na dia fantany aza fa hanao izany izy
It is not possible.	tsy azo atao
But it’s far better than the other options.	saingy tsara lavitra noho ireo safidy hafa izany
Maybe he was long gone.	angamba efa ela izy no lasa
Easier and easier.	mora kokoa sy mora kokoa
Sometimes they are completely wrong.	indraindray dia diso tanteraka izy ireo
It seems like a difficult task.	toa asa sarotra izany
Maybe, maybe, but maybe not.	mety angamba fa tsy mety
And they stopped.	dia nijanona izy ireo
You don’t make a lot of money.	tsy mahazo vola be ianao
It’s still hard to find it.	mbola sarotra ny mahita azy
I need it for me.	mila izany ho ahy aho
He is not very talkative.	tsy be resaka izy
I don’t want to do it again.	tsy te hanao izany indray aho
I still don’t have anything about him.	mbola tsy manana na inona na inona momba azy aho
Both have them.	samy manana azy ireo
It’s all a lot, but it’s not enough.	be dia be izany rehetra izany saingy tsy ampy
This will never be seen in a big game.	tsy ho hita aminny lalao lehibe mihitsy izany
I like it.	tiako
We will be there then.	ho any isika avy eo
Great stuff around.	zavatra lehibe manodidina
This is the real thing.	izao no tena izy
Maybe at another time.	angamba aminny fotoana hafa
You are the same as before.	toy ny taloha koa ianao
I really like it.	tena tiako ilay izy
These are not the right people.	tsy ireo no olona mety
But it’s not something you can’t generally do.	saingy tsy zavatra tsy azonao atao aminny ankapobeny izany
And that’s really bad.	ary tena ratsy izany
Then it stopped.	dia nijanona izany
They are also very large.	tena lehibe koa izy ireo
He is everything to me.	izy no zavadrehetra ho ahy
That is not the problem right now.	tsy izany no olana aminizao fotoana izao
But not right now.	saingy tsy aminizao fotoana izao
Two in one.	roa aminny iray
You are wrong woman.	diso vehivavy ianao
So maybe that's it.	ka angamba izay no izy
Not sure.	tsy azo antoka
He went too far.	lasa lavitra izy
They are the only ones that are right for you.	izy ireo ihany no mety aminao
It’s always been like that for me.	toy izany foana ny ahy
It was still fun.	mbola nahafinaritra izany
One for each of them.	iray ho anny tsirairay aminizy ireo
But it is too close.	tena akaiky loatra anefa izany
It always seems like that.	toa toy izany foana izany
Simple life is fun.	mahafinaritra ny fiainana tsotra
It doesn't seem right.	toa tsy mety izany
He certainly did.	azo antoka fa nanao izany izy
A new problem came up for them.	nisy olana vaovao tonga teo aminizy ireo
No need, really.	tsy ilaina tena
He hadn't done that in a long time.	efa ela izy no tsy nanao izany
So have it.	koa manana azy
I watched them die.	nijery azy ireo maty aho
From you.	avy aminao
I'm not that yet.	mbola tsy izany aho
They’re certainly not fun.	azo antoka fa tsy mahafinaritra izy ireo
This is another good option for beginners.	safidy tsara iray hafa ho anny vao manomboka izany
It didn’t make much sense, of course.	tsy dia nisy dikany loatra izany mazava ho azy
I have seen this often.	nahita izany matetika aho
He always loved her.	tia azy foana izy
He will be like a man.	ho toy ny lehilahy izy
That’s the part.	izany no ampahany
This one is for me.	ity iray ity ho ahy
Here is a typical one.	ity misy iray mahazatra
It is too early.	mbola aloha be izao
This is probably the best option.	ity angamba no safidy tsara indrindra
This is very bad.	tena ratsy izany
It really is.	tena izany tokoa
I don't think so.	heveriko fa tsy izany
He needs it.	mila izany izy
And look at us now.	ary jereo izao izahay
But they are different.	saingy samy hafa izy ireo
But that is not the only reason.	tsy izay ihany anefa no antony
And he needs me now.	ary mila ahy izy izao
He could have done it.	afaka nanao izany izy
This place was great.	nahafinaritra ity toerana ity
It also seems more complicated.	toa sarotra kokoa koa izany
In fact, there is only one place.	raha ny marina dia iray ihany ny toerana
We are not as difficult as women.	tsy sarotra toy ny vehivavy izahay
There are only three of us.	telo ihany izahay
But he said to me, no.	fa hoy izy tamiko tsia
I have to look further away then first.	tsy maintsy mijery lavitra kokoa aho avy eo aloha
Something else has to go there.	misy zavatra hafa tsy maintsy mandeha any
Often this is not necessary.	matetika dia tsy ilaina izany
You can work and walk.	afaka miasa sy mandeha ianao
This year is different.	hafa ity taona ity
They saw nothing again.	tsy nahita na inona na inona indray izy ireo
This is the most likely reason.	izany no antony mety indrindra
I was finally able to do that.	afaka nanao izany aho taminny farany
He now had a house.	nanana trano izy izao
Others are better, but not always.	ny hafa dia tsara kokoa saingy tsy misy foana
It’s you, or the man.	izany dia ianao na ny lehilahy
Yes, do it now.	eny manao izany izao
That's too much.	be loatra izany
That seems clear.	toa mazava izany
No, that's not the point.	tsia tsy izay no zavadehibe
But that is not all.	tsy izay ihany anefa no tena izy
No, you certainly are not.	tsia azo antoka fa tsy izany ianao
You don’t like it.	tsy tianao izany
He looked at me intently as he said that.	nijery ahy tsara izy rehefa nilaza izany
Not just a part.	tsy ampahany fotsiny
Maybe the process has already begun.	angamba efa nanomboka ny dingana
Something like that.	zavatra toy izany
You love him, you love them both.	tia azy ianao tia azy roa ianao
The world has gone too far.	lasa lavitra be izao tontolo izao
See if it’s more fun.	jereo raha mahafinaritra kokoa
The method is very simple.	ny fomba dia tena tsotra
He really did exist.	tena nisy tokoa izy
It’s also completely wrong.	tena diso tanteraka koa
I think there is some truth to that.	heveriko fa misy marina izany
See it all here.	jereo eto daholo
But he works well.	miasa tsara anefa izy
It is no more.	tsy eo intsony
Make the place your own.	ataovy toy ny anao ny toerana
I know very well.	fantatro tsara
None of this is unusual.	tsy misy aminireo no tsy mahazatra
It is not about us but about them.	tsy momba antsika izany fa momba azy ireo
The house and surroundings are a different story.	ny trano sy ny manodidina dia tantara hafa
So here it goes.	dia izao no mandeha
Sure enough, he was like one.	azo antoka fa toy ny iray izy
It was a very nonsensical story.	tena tantara tsy misy dikany ilay izy
That's not right.	tsy mety izany
You never know.	tsy fantatrao mihitsy
