Everything has changed.	semuanya telah berubah
He made a good living here.	dia membuat hidup yang baik di sini
This is very, very important.	ini sangat sangat penting
It doesn't scare me.	ini tidak membuatku takut
This is true, if not quite true.	ini benar jika tidak cukup benar
He works closely.	dia bekerja dari dekat
That's worse.	itu lebih buruk
And then it happened again, and again, and again.	dan kemudian itu terjadi lagi dan lagi dan lagi
You don't talk anymore.	anda tidak berbicara lagi
My family owns me.	keluarga saya memiliki saya
The night was not easy for them.	malam itu tidak mudah bagi mereka
That's normal.	itu biasa saja
I'm right, it's bad.	aku benar itu buruk
And that's what he's doing here.	dan itulah yang dia lakukan di sini
One more look.	satu lagi lihat
Or if you're already dead.	atau jika anda sudah mati
They are different.	mereka berbeda
We hope others will do the same.	kami berharap orang lain akan melakukan hal yang sama
He didn't want to scare me.	dia tidak ingin membuatku takut
Want to die.	ingin mati
I think you are doing a lot or not enough.	saya pikir anda melakukan banyak atau tidak cukup
We have to work fast.	kita harus bekerja cepat
I came very close.	saya datang sangat dekat
I found love once.	saya menemukan cinta sekali
For some reason they have no children.	untuk beberapa alasan mereka tidak memiliki anak
But that's him.	tapi itulah dia
He was always sick too.	dia juga selalu sakit
It doesn't need much else.	itu tidak membutuhkan banyak hal lain
I can grab something for dinner.	aku bisa mengambil sesuatu untuk makan malam
They did an excellent job.	mereka melakukan pekerjaan yang sangat baik
We only know ourselves.	kami hanya tahu kami sendiri
He's already here.	dia sudah di sini
I will be with them.	aku akan bersama mereka
They really can't eat enough.	mereka benarbenar tidak bisa makan cukup banyak
They have to come.	mereka harus datang
He will say no.	dia akan mengatakan tidak
I can make him say yes to anything.	aku bisa membuatnya mengatakan ya untuk apa pun
Because you know you are better off with them.	karena anda tahu anda lebih baik bersama mereka
But they may not even have to.	tetapi mereka bahkan mungkin tidak perlu melakukannya
No one can go where they go.	tidak ada yang bisa pergi ke mana mereka pergi
He came out strong.	dia keluar dengan kuat
I don't want him to be unsure.	aku tidak ingin dia tidak yakin
A big family.	sebuah keluarga besar
We're all pretty good alike.	kita semua cukup baik sama
Just a few.	hanya beberapa saja
He always knows what to do.	dia selalu tahu apa yang harus dilakukan
Nothing we do is about us.	tidak ada yang kita lakukan adalah tentang kita
It was twice as big as the previous one.	itu dua kali lebih besar dari yang sebelumnya
I have to do the same.	saya harus melakukan hal yang sama
What is easy for some may be difficult for others.	apa yang mudah bagi sebagian orang mungkin sulit bagi orang lain
What goes in ends up coming out.	apa yang masuk akhirnya keluar
Of course that doesn't mean much.	tentu saja itu tidak berarti banyak
That he now knows.	bahwa dia sekarang tahu
Far down there.	jauh di bawah sana
There's nothing wrong with this.	tidak ada yang salah dengan ini
You are only one.	anda hanya satu
They have nowhere else to go.	mereka tidak punya tempat lain untuk pergi
But they can't get anything from me.	tapi mereka tidak bisa mendapatkan apaapa dari saya
He had to stop doing it for himself.	dia harus berhenti melakukannya untuk dirinya sendiri
Everything is right with the world.	semuanya benar dengan dunia
He returns to her.	dia kembali padanya
Nothing will happen to him.	tidak akan terjadi apaapa padanya
Very very good stay.	tetap sangat sangat bagus
He knows that well.	dia tahu itu dengan baik
But he never did it by standing above anyone.	tapi dia tidak pernah melakukannya dengan berdiri di atas siapa pun
It happened very fast.	itu terjadi sangat cepat
After a while, he stopped trying.	setelah beberapa saat dia berhenti mencoba
Not like here.	tidak seperti di sini
Definitely and you can believe it.	pasti dan anda bisa percaya itu
I lost too much.	aku kehilangan terlalu banyak
It can be anything.	itu bisa apa saja
I want everyone to have a job.	saya ingin semua orang memiliki pekerjaan
And it is again a taste of easy money.	dan itu sekali lagi adalah rasa uang mudah
I will do it.	aku akan melakukannya
You just have to look.	anda hanya perlu melihat
We did the right thing.	kami melakukan hal yang benar
You look out for them.	anda melihat keluar untuk mereka
They told me that.	mereka mengatakan itu pada saya
You think you can, but you can't.	anda pikir anda bisa tetapi anda tidak bisa
But it didn't work like that.	tapi itu tidak berhasil seperti itu
Just saw a few of them in my time.	hanya melihat beberapa dari mereka di waktu saya
It worked fine.	itu bekerja dengan baik
There will be another part.	akan ada bagian lain
You have lost a lot.	anda telah kehilangan banyak
We can make it ourselves.	kita bisa membuatnya sendiri
I won't get any better.	aku tidak akan menjadi lebih baik
Finally someone else saw it too.	akhirnya orang lain juga melihatnya
He didn't feel bad about it.	dia tidak merasa buruk tentang itu
But you take and you still want.	tapi anda mengambil dan anda masih ingin
Nothing in sight yet.	belum ada yang terlihat
They did a pretty good job with this one.	mereka melakukan pekerjaan yang cukup baik dengan yang satu ini
Was a first for me but won't be the last.	adalah yang pertama bagi saya tetapi tidak akan menjadi yang terakhir
We're pretty close.	kami cukup dekat
There's something that really scares me about this.	ada sesuatu yang benarbenar membuatku takut tentang ini
But we have very little.	tapi kami memiliki sangat sedikit
If he's wrong, it doesn't matter.	jika dia salah itu tidak masalah
Trying to get me fixed.	mencoba untuk mendapatkan saya tetap
I hardly do it myself.	saya sendiri hampir tidak melakukannya
Doing the job is quite difficult.	melakukan pekerjaan itu cukup sulit
It requires going above and beyond.	itu membutuhkan pergi di atas dan di luar
